# "Top 500 'Greatest' Novels (1021-2015)" [https://www.responsible-datasets-in-context.com/posts/top-500-novels/top-500-novels.html] by "Responsible Datasets in Context" [https://www.responsible-datasets-in-context.com/team.html], used under CC BY 4.0 [http://creativecommons.org/licenses/by/4.0/] / Some columns deleted
top_500_rank,title,author,pub_year,orig_lang,genre,author_field_of_activity,author_occupation,wiki_url,pg_eng_url
86,Nineteen Eighty-Four,George Orwell,1949,English,political,fiction,"novelists,authors",https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,NA_not-pub-domain
87,The Jungle,Upton Sinclair,1906,English,political,,novelists,https://en.wikipedia.org/wiki/The_Jungle,https://www.gutenberg.org/cache/epub/140/pg140.txt
88,The Da Vinci Code,Dan Brown,2003,English,mystery,"suspense fiction,fiction","novelists american,authors american",https://en.wikipedia.org/wiki/The_Da_Vinci_Code,NA_not-pub-domain
89,Persuasion,Jane Austen,1818,English,romance,"fiction,novels","novelists,authors",https://en.wikipedia.org/wiki/Persuasion_(novel),https://www.gutenberg.org/cache/epub/105/pg105.txt
90,Mansfield Park,Jane Austen,1814,English,romance,"fiction,novels","novelists,authors",https://en.wikipedia.org/wiki/Mansfield_Park,https://www.gutenberg.org/cache/epub/141/pg141.txt
91,Candide,Voltaire,1759,French,na,"philosophy modern 18th century,french literature 18th century","philosopher,author,poet,activist,historian,dramatist",https://en.wikipedia.org/wiki/Candide,https://www.gutenberg.org/cache/epub/19942/pg19942.txt
92,For Whom the Bell Tolls,Ernest Hemingway,1940,English,war,"short stories,novels,journalism,fiction","novelists,journalists",https://en.wikipedia.org/wiki/For_Whom_the_Bell_Tolls,NA_not-pub-domain
93,Far from the Madding Crowd,Thomas Hardy,1874,English,romance,english literature,writers,https://en.wikipedia.org/wiki/Far_from_the_Madding_Crowd,https://www.gutenberg.org/cache/epub/107/pg107.txt
94,The Fellowship of the Ring,J.R.R. Tolkien,1954,English,fantasy,"poetry,philology,novels,fiction,fantasy fiction,english literature,education higher","poets,philologists,novelists,college teachers,authors",https://en.wikipedia.org/wiki/The_Fellowship_of_the_Ring,NA_not-pub-domain
95,The Return of the Native,Thomas Hardy,1878,English,romance,english literature,writers,https://en.wikipedia.org/wiki/The_Return_of_the_Native,https://www.gutenberg.org/cache/epub/122/pg122.txt
96,Sons and Lovers,D.H. Lawrence,1913,English,na,english literature,"poets,novelists,dramatists",https://en.wikipedia.org/wiki/Sons_and_Lovers,https://www.gutenberg.org/cache/epub/217/pg217.txt
97,Charlotte's Web,E.B. White,1952,English,fantasy,childrens literature,author,https://en.wikipedia.org/wiki/Charlotte%27s_Web,NA_not-pub-domain
98,The Swiss Family Robinson,Johann David Wyss,1812,German,na,,author,https://en.wikipedia.org/wiki/The_Swiss_Family_Robinson,https://www.gutenberg.org/cache/epub/11703/pg11703.txt
99,Bleak House,Charles Dickens,1853,English,na,english literature,"authors english,writers,novelists",https://en.wikipedia.org/wiki/Bleak_House,https://www.gutenberg.org/cache/epub/1023/pg1023.txt
